author," ""url"""
natsume, http://www.aozora.gr.jp/index_pages/person148.html#sakuhin_list_1
akutagawa, http://www.aozora.gr.jp/index_pages/person879.html#sakuhin_list_1
mori, http://www.aozora.gr.jp/index_pages/person129.html#sakuhin_list_1
dazai, https://www.aozora.gr.jp/index_pages/person35.html#sakuhin_list_1
nakahara, https://www.aozora.gr.jp/index_pages/person26.html#sakuhin_list_1
sakutaro, https://www.aozora.gr.jp/index_pages/person67.html#sakuhin_list_1
takuboku, https://www.aozora.gr.jp/index_pages/person153.html#sakuhin_list_1
shiki, https://www.aozora.gr.jp/index_pages/person305.html#sakuhin_list_1
kenji, https://www.aozora.gr.jp/index_pages/person81.html#sakuhin_list_1
sakaguchi, http://www.aozora.gr.jp/index_pages/person1095.html#sakuhin_list_1
yoshikawa, http://www.aozora.gr.jp/index_pages/person1562.html#sakuhin_list_1
arishima, https://www.aozora.gr.jp/index_pages/person25.html#sakuhin_list_1
tenshin, https://www.aozora.gr.jp/index_pages/person238.html#sakuhin_list_1
hakshu, https://www.aozora.gr.jp/index_pages/person106.html#sakuhin_list_1
kuki,https://www.aozora.gr.jp/index_pages/person65.html#sakuhin_list_1
takji, https://www.aozora.gr.jp/index_pages/person156.html#sakuhin_list_1
mokichi, https://www.aozora.gr.jp/index_pages/person1059.html#sakuhin_list_1
ango, https://www.aozora.gr.jp/index_pages/person1095.html#sakuhin_list_1
shimazaki, https://www.aozora.gr.jp/index_pages/person158.html#sakuhin_list_1
takamura, https://www.aozora.gr.jp/index_pages/person1168.html#sakuhin_list_1
niimi, https://www.aozora.gr.jp/index_pages/person121.html#sakuhin_list_1
yosano, https://www.aozora.gr.jp/index_pages/person885.html#sakuhin_list_1
